protocol,second,count
TCP,1123,3
UDP,1123,2
TLSv1.3,1124,2
TCP,1124,2
TLSv1.3,1125,4
TCP,1125,4
TLSv1.3,1126,4
TCP,1126,4
UDP,1126,2
TLSv1.3,1127,4
TCP,1127,4
TLSv1.3,1128,4
TCP,1128,4
TLSv1.3,1129,3
TCP,1129,3
TLSv1.3,1130,4
TCP,1130,4
TLSv1.3,1131,1
TCP,1131,1
ICMPv6,1131,2
TLSv1.3,1132,1
TCP,1132,1
ICMPv6,1132,2
TLSv1.3,1133,3
TCP,1133,3
TLSv1.3,1134,1
TCP,1134,1
ICMPv6,1135,2
ARP,1136,1
TLSv1.3,1136,1
TCP,1136,1
TLSv1.3,1137,1
TCP,1137,1
TLSv1.3,1138,1
TCP,1138,1
TLSv1.3,1139,5
TCP,1139,7
TLSv1.3,1140,5
TCP,1140,5
TLSv1.3,1141,4
TCP,1141,4
TLSv1.3,1142,5
TCP,1142,5
TLSv1.3,1143,3
TCP,1143,3
UDP,1143,2
TLSv1.3,1144,3
TCP,1144,3
UDP,1144,1
ARP,1145,2
TCP,1145,6
TLSv1.3,1145,3
TLSv1.3,1146,5
TCP,1146,13
UDP,1146,2
ICMPv6,1149,2
ICMPv6,1154,2
ICMPv6,1157,2
TCP,1159,1
ICMPv6,1159,2
TCP,1160,1
TCP,1161,1
TCP,1162,1
TCP,1163,1
UDP,1163,2
TCP,1164,1
ARP,1165,1
TCP,1166,1
UDP,1166,1
UDP,1167,1
IGMPv2,1169,1
MDNS,1169,2
TCP,1170,11
MDNS,1170,1
TLSv1.3,1170,2
TLSv1.3,1171,1
TCP,1171,10
TCP,1172,18
ARP,1172,2
MDNS,1173,1
ICMPv6,1174,2
DNS,1175,4
TCP,1175,2
TCP,1176,9
TLSv1.3,1176,6
ICMPv6,1176,2
ICMPv6,1177,1
ICMPv6,1179,2
TCP,1180,4
ICMPv6,1180,2
MDNS,1182,2
UDP,1183,2
UDP,1187,3
DNS,1189,5
TCP,1189,23
TLSv1.3,1189,9
TCP,1193,7
TLSv1.3,1193,2
ARP,1193,1
ICMPv6,1199,2
ARP,1199,1
ARP,1200,1
ICMPv6,1202,2
MDNS,1202,1
ARP,1202,2
MDNS,1203,1
UDP,1203,2
ICMPv6,1204,2
UDP,1207,2
IGMPv2,1207,1
MDNS,1207,1
MDNS,1208,1
QUIC,1210,24
IGMPv2,1217,1
MDNS,1217,1
MDNS,1218,1
QUIC,1219,1
ICMPv6,1221,2
ARP,1221,1
UDP,1223,2
ICMPv6,1224,4
ARP,1225,2
UDP,1227,2
ARP,1234,1
TLSv1.3,1235,3
